PatientName,SSN,PatientID,Phone,Gender,BirthDate,ZipCode,Health Condition,Weight,Height
Zaida de Pera,462-13-4733,1070,+34727 71 20 69,Female,20010111,08002,Asthma,74,196
Ignacio Muñoz-Morales,414-71-9105,1071,+34 717 241 170,Male,20010110,08003,Common cold and flu,94,153
Bautista Plaza-Torrens,321-13-2380,1072,+34918 15 22 09,Male,20011001,08012,Asthma,55,171
Chema del Bejarano,607-07-2865,1073,+34694 81 52 81,Female,20001001,08011,Bird flu,79,187
Marcelo Cruz Cornejo Pozuelo,669-67-9588,1074,+34715890559,Male,20011001,08001,Common cold and flu,76,165
Humberto Bueno Carreras,060-58-7221,1075,+34 666 64 17 29,Male,20001009,08013,Bird flu,63,191
Natanael Lloret,341-90-8339,1076,+34 708 02 90 21,Male,20001010,08013,Asthma,88,192
Elena Montaña Parejo,826-40-5746,1077,+34 673 941 759,Female,20001009,08004,Common cold and flu,80,176
Dominga Sevilla,999-16-8618,1078,+34732797994,Female,20000101,08002,COVID-19 (Novel coronavirus),67,171
Susanita Mancebo Arnaiz,139-89-4453,1079,+34 713 72 85 51,Female,20001001,08001,Bird flu,58,150
Jose Antonio Amor Perales,309-23-8559,1080,+34 703 04 82 82,Male,20000109,08003,Common cold and flu,95,174
Hermenegildo Gerónimo Villanueva Cornejo,481-02-8907,1081,+34706 87 70 29,Male,20011009,08011,Bird flu,68,165
Lupe del Priego,865-70-3408,1082,+34718218497,Female,20000109,08003,Asthma,83,182
Lupita Mercader Falcón,261-19-9827,1083,+34 919670475,Female,20000110,08013,COVID-19 (Novel coronavirus),71,183
Amor del Gallart,789-46-0921,1084,+34 726 58 06 91,Female,20010110,08003,Bird flu,89,163
Wálter del Pellicer,216-05-2799,1085,+34806 162 073,Female,20011011,08013,Bird flu,80,181
Darío Anaya Larrañaga,838-75-0760,1086,+34708 42 99 57,Male,20001009,08002,Common cold and flu,63,181
Germán Frutos Escribano,310-12-6388,1087,+34863724437,Male,20001010,08004,COVID-19 (Novel coronavirus),77,180
Renato Llanos Quero,546-06-3757,1088,+34 719 736 969,Male,20001010,08002,COVID-19 (Novel coronavirus),85,167
Ainoa Garay Fortuny,868-18-6256,1089,+34975398046,Female,20011011,08003,Bird flu,58,181
Leandro del Ureña,332-76-1706,1090,+34 704 190 407,Male,20010101,08004,Bird flu,63,174
Íngrid Téllez Ríos,129-79-0868,1091,+34729625867,Female,20001011,08003,Asthma,93,172
Prudencio Alonso Agustí,415-51-9738,1092,+34729564324,Male,20011009,08004,Bird flu,64,173
Toni Barranco Cabezas,771-85-1697,1093,+34617 79 97 65,Male,20001011,08013,Asthma,93,174
Agustina Cervantes,179-86-1767,1094,+34613836781,Female,20010110,08011,Common cold and flu,81,172
Edu Jara Mendez,710-89-6575,1095,+34606 44 46 92,Female,20000111,08014,Bird flu,62,165
Juliana Cruz Vargas Rosselló,938-96-5737,1096,+34822 68 89 86,Female,20011009,08001,Asthma,61,151
Fidel Robledo Hernando,102-30-5721,1097,+34 872 667 558,Male,20001010,08001,Common cold and flu,62,188
Hilda Mamen Villaverde Castrillo,360-89-8456,1098,+34713200463,Female,20001009,08001,Common cold and flu,64,179
Olivia Machado Sáenz,295-90-6472,1099,+34 956 936 719,Female,20000101,08011,Common cold and flu,73,167
